-0.143055641893325+0.000000000000000i,-0.181511529733485-0.069190300565272i,-0.168289565717972-0.143270169228817i,-0.096569750466084-0.177061665702689i,-0.023090474165921-0.123304850784967i,-0.051569618787417-0.084022314195491i,0.044801031601468-0.167104766986483i,0.213118155419550+0.093496131435210i,-0.216557748057041+0.233769274703330i,-0.196469840683077-0.317523128544161i,0.333305278756628-0.105486950289809i,0.018634721380459+0.261822014428030i,-0.155636108595499-0.022222849756975i,0.022893337466168-0.070641147948741i,0.025198735545646+0.010739700959698i,-0.002566515147836+0.007712929021274i,-0.002426008254604+0.000000000000000i,-0.000486684065863-0.001017871599133i,0.000084097891901-0.001714991550570i,0.003735484858468-0.004839751211832i,0.018663260204668-0.003222146442967i,0.040097829342763+0.026624832115301i,0.022005149671062+0.098558139334941i,-0.092216805570531+0.149059361496964i,-0.245231277810045+0.058383566511089i,-0.255084789951177-0.159580808402777i,-0.061916805804566-0.292061007323329i,0.140578737367012-0.202829852752431i,0.169748859131372-0.021469717625011i,0.073612064700432+0.074528848245040i,-0.020860316030470+0.074037250459518i,-0.085234795611218+0.043938134641335i
-0.255682081645389+0.000000000000000i,-0.291373729274647-0.088120711472028i,-0.243906922318257-0.166694756951043i,-0.139444773229710-0.187812530615335i,-0.042070920431012-0.134751667473509i,-0.019985541624967-0.070152895449134i,0.002195608015040-0.070394155859432i,0.057028753150682-0.012777547777384i,-0.002253426058450+0.041234421857775i,-0.018313407643385-0.006027154471496i,-0.005941303239687+0.008523467314055i,-0.023667115121129-0.021881666678357i,0.029439309119060-0.022642264171044i,0.013561391708062+0.025593077455815i,-0.016172154137520+0.005399464083959i,-0.001252205344491-0.007792694136857i,0.002978046643921-0.000000000000000i,0.000088923356466+0.000986815365975i,0.000432113919216+0.000814558542317i,0.000602672595782+0.003737318035078i,-0.003520209105514+0.010505639094930i,-0.018941448429002+0.018188542450514i,-0.048258552974377+0.014150385280781i,-0.075651747541402-0.013633802468869i,-0.076746616919748-0.052137547470039i,-0.054336680800745-0.070211335881292i,-0.037050127440601-0.062663535414187i,-0.032719913150402-0.051848917575552i,-0.027301783983136-0.040041384636823i,-0.030760149689302-0.009499723380268i,-0.074538071592411+0.031778217084426i,-0.163468476180773+0.044825866109324i
-0.013219618247541+0.000000000000000i,-0.062099196008088+0.003329588303371i,-0.101506242979418-0.018035536600752i,-0.110812768118178-0.046827022269981i,-0.087696630027828-0.077680398086768i,-0.008783659410984-0.079880416674215i,0.035265555687865+0.028260607679809i,-0.120474976246250+0.065717033909828i,-0.112391679779237-0.212652696144318i,0.311283514148176-0.114446838746233i,0.057023497618037+0.378752272774191i,-0.362047432783080-0.032701670953564i,0.098008538487047-0.263340309640909i,0.141505622047256+0.105822526043275i,-0.073137585306934+0.053184169123766i,-0.011805013949413-0.035782958734486i,0.012710456751018-0.000000000000000i,-0.001474786604498+0.003079202231711i,-0.001053681389448-0.002315857933272i,0.002833794224363-0.005943841769022i,0.015889088990921-0.008537414972808i,0.040626642117435+0.005184665907442i,0.057283424204412+0.049823112031728i,0.035471222028413+0.110748091184557i,-0.027585879036957+0.148264552784054i,-0.102127265315194+0.137433603898651i,-0.154555549091905+0.079555691878868i,-0.156432180071745-0.004417951424546i,-0.101925239751697-0.070085940748180i,-0.029789010340635-0.083450138173411i,0.013689796714882-0.057665030681496i,0.016597342561798-0.024192506263998i
-0.058495549625547+0.000000000000000i,-0.065572149059674-0.037885404518398i,-0.038011760383154-0.070214906695387i,-0.007502880339838-0.073771925568168i,0.027767101110734-0.088946602014002i,0.115304699606921-0.007067732162845i,-0.069604048728333+0.128275482295506i,-0.133977704187819-0.231938227166653i,0.386758601291115-0.055134334965880i,-0.119362586030431+0.439691303799985i,-0.345450860460143-0.284450153840168i,0.331681457895546-0.163647953090943i,0.009807669819406+0.255907383975328i,-0.137843715632116-0.054382277633170i,0.050317151223806-0.050653644956640i,0.010853446402716+0.026396174806261i,-0.009530962583149+0.000000000000000i,0.000506976976373-0.002674926566584i,-0.000578751598840-0.001792294214071i,0.001227819398935-0.008659137674911i,0.017761628402686-0.019773907711829i,0.063977606865025-0.016518957976588i,0.127641235999067+0.044826114616058i,0.135766101992376+0.182978482269602i,0.012606303992571+0.315186302487246i,-0.190901584810141+0.303792000625497i,-0.307648029805728+0.132920174894008i,-0.251894150838717-0.048780605557399i,-0.113366774951828-0.111572011334826i,-0.018609579160145-0.071801112364607i,-0.001481520186377-0.013946387811807i,-0.027844822701555+0.012324662193978i
0.246788813516598+0.000000000000000i,0.276699824008350+0.052569164848017i,0.253945710203399+0.093501385175399i,0.198043072685852+0.106534856083174i,0.118257373345383+0.111838312304275i,0.020293711124859+0.045973997374230i,0.088750374643784-0.017565023092736i,0.034558040318583+0.154521010701691i,-0.195541816271487-0.051327472516727i,0.171412678329724-0.185332815990900i,0.103069813492110+0.245320950822787i,-0.232974889618831+0.000660498928830i,0.059647246249387-0.158145901356981i,0.077474377503979+0.064654440065683i,-0.041735859790056+0.026432045887505i,-0.005340522341002-0.019087217923657i,0.006656721896956-0.000000000000000i,0.000172496477609+0.002218957284680i,0.000233065496522+0.003353810965790i,-0.006714164970185+0.010932731019286i,-0.036223090141680+0.011284317325676i,-0.083308812576790-0.037518800860755i,-0.072325314316603-0.165108521276400i,0.095779412813652-0.275570845660144i,0.345503068994579-0.176878212772595i,0.405591747458905+0.129410838249901i,0.170884782330496+0.346032895220724i,-0.104209450804057+0.267932385139271i,-0.163439414587569+0.048900090570851i,-0.047759157136520-0.078941912608408i,0.085142036413728-0.085110904953108i,0.180004489069844-0.046891346242194i
-0.062123270280970+0.000000000000000i,-0.135973117526106-0.009481694999149i,-0.182665441296811-0.058558166026153i,-0.164620207085703-0.113700361332011i,-0.092404810045387-0.124975532744663i,-0.039310069150440-0.076653799899558i,-0.039394564760275-0.068706026512057i,0.052911817940347-0.078203861080526i,0.070025073173988+0.081405794290198i,-0.115814047803861+0.048965432720228i,-0.017277727828569-0.118353002529155i,0.089696969578194+0.010146509470078i,-0.020175867975091+0.050750368639908i,-0.021014703481023-0.016008240090595i,0.008148416380904-0.006034697141360i,0.001015428361493+0.002870421430881i,-0.000639767973850+0.000000000000000i,0.000264489496395+0.000149150116734i,-0.000271617509510+0.001478210295114i,-0.004886494152584+0.002706628921947i,-0.016475010326859-0.006202009288313i,-0.016389238159402-0.043471426948867i,0.046351138529225-0.091011188840064i,0.178551835535939-0.052784388521519i,0.245289424025604+0.135988340141276i,0.098934728517703+0.333905812095643i,-0.162676511372209+0.317022864947138i,-0.284324027034354+0.102040652263663i,-0.200171862714150-0.083984618096709i,-0.064096769278434-0.122785832127145i,0.001568686503608-0.077596102928674i,-0.007109605912873-0.027654276901619i
-0.489273411927574+0.000000000000000i,-0.573021589916814-0.138299869214442i,-0.516241410585447-0.268512992438856i,-0.357636159823160-0.311532779149043i,-0.188259034448176-0.276498338687009i,-0.021095171196796-0.189896456857545i,0.036393796192506+0.004378515152113i,-0.152859104337163+0.026001000692759i,-0.043350837191570-0.260183722845106i,0.334123608475183-0.009444950499054i,-0.056167881452072+0.356978245199721i,-0.305992441358002-0.114314680246253i,0.132783089249689-0.204442259406246i,0.103175882757399+0.108297861667258i,-0.065463554795241+0.037108805200453i,-0.008003115355824-0.029924237774846i,0.010384766013337-0.000000000000000i,-0.000910747137049+0.002620989580780i,-0.000673208069174-0.001299125785486i,0.002120198605372-0.003178798913702i,0.011005537034870-0.003349084703118i,0.027124799176442+0.010895818617030i,0.030478760064871+0.052643952196524i,-0.012705369031632+0.102771946118661i,-0.098481620692893+0.105279222378548i,-0.160368297789018+0.034791927434238i,-0.142920754032639-0.052707883570881i,-0.075519856090076-0.083090423755871i,-0.032236078875975-0.046136683241347i,-0.057917066488806+0.018716734704962i,-0.160283605001559+0.070733998444561i,-0.322511440566581+0.073986736249680i
0.169000778854461+0.000000000000000i,0.140244561664389+0.062290478716759i,0.075173554140541+0.090943271188871i,0.009161450610313+0.076265504704008i,-0.028403961067673+0.035434959631444i,-0.016684654145527-0.006860430893163i,0.016445366325225+0.022123746981337i,-0.071226006466830+0.040645770676805i,-0.046454972138716-0.127902895558785i,0.179868797919025-0.019032017957795i,-0.028516571731718+0.197484500663628i,-0.167035661261089-0.068099804989613i,0.078431020364510-0.107944005668814i,0.052294038187040+0.061668763096459i,-0.035869548981592+0.018062709305660i,-0.003759853272392-0.015915974499580i,0.005470155390702-0.000000000000000i,-0.000307928960800+0.001517596158470i,-0.000519165656849+0.000207410730150i,-0.002073719595581+0.000170673858541i,-0.006563081387178-0.005939903274724i,-0.001330726936009-0.029803788973337i,0.053121641550457-0.061060712324526i,0.176111548409274-0.020026984921379i,0.256367179295132+0.181443310745553i,0.104554417797913+0.438850584539190i,-0.244233554026603+0.465804513258481i,-0.465326609967764+0.179611896504991i,-0.362896772592592-0.141382397604573i,-0.104853718687744-0.245036371179488i,0.079646994479679-0.175968380885115i,0.153782660981314-0.078621899758578i
-0.360894099378884+0.000000000000000i,-0.416273047462602-0.130276365740827i,-0.361103383714785-0.254245383551910i,-0.214388972010755-0.295803707632180i,-0.076312763259446-0.225085842226707i,-0.023429847470856-0.149712400936672i,0.058783152983975-0.094930565884336i,0.036190565871548+0.052193788688338i,-0.080685460979265-0.026102716216591i,0.071624375327725-0.065457989220936i,0.017289456392256+0.086839407978405i,-0.066371543591932-0.022081107139984i,0.031957718737517-0.032829013398329i,0.009720015841768+0.021902921291652i,-0.009678426615154+0.001123555420318i,0.000207231765174-0.003017034923489i,0.000832223225538-0.000000000000000i,0.000507549606470+0.000449180192058i,0.000973687820795+0.002032183093928i,-0.000529767082710+0.008145230117618i,-0.013992333625293+0.020524457170401i,-0.057195911485778+0.026774264756359i,-0.133800941914110-0.013597001970663i,-0.190947666640793-0.145082100566404i,-0.125532200540240-0.334451242976082i,0.096431953587406-0.432397343261038i,0.332173936099574-0.311611799804355i,0.383672985782767-0.049174175262604i,0.232424743050330+0.146888491924918i,0.029547376929278+0.186547072490281i,-0.123562472296756+0.143442225024147i,-0.246875271978697+0.086190148188753i
-0.293724707588173+0.000000000000000i,-0.358956782218355-0.103580457367082i,-0.328329475553087-0.209147911368034i,-0.215383853147576-0.255197751346663i,-0.076174607936993-0.208213009227649i,-0.030641593680358-0.084227266638086i,-0.087014917509811-0.120015203506490i,0.169924360149836-0.179287193778900i,0.189088382636234+0.301099085416564i,-0.441786483359432+0.131220045793211i,-0.015019845944307-0.490315447368308i,0.415115652793973+0.097534625891536i,-0.144663412179925+0.267473119434841i,-0.128693084092988-0.123040209520841i,0.073450737075684-0.043955292314750i,0.008989687905443+0.032577699707484i,-0.011086620373128+0.000000000000000i,0.000171999016907-0.003257782299614i,-0.000353829917998-0.002827646168082i,0.004103546297564-0.010744313821258i,0.028450915782914-0.017723967761999i,0.078705196460805+0.006854536984862i,0.113363644197144+0.101065149915142i,0.048366335775463+0.233063620644393i,-0.126453222641935+0.276387792561526i,-0.275008031939393+0.155431443925124i,-0.265291380504562-0.026997655562132i,-0.139569427531968-0.114970956948805i,-0.035002501118613-0.083864362505585i,-0.018060750669921-0.011771326839469i,-0.075244430067477+0.040750544944624i,-0.179183952010455+0.050103144034661i
